Aarbøger for nordisk oldkyndighed og historie,AarbKøb
Abhandlungen der Akademie der Wissenschaften zu Göttingen. Philologisch-Historische Klasse,AbhGöttingen
Abhandlungen der Deutschen Akademie der Wissenschaften zu Berlin,AbhBerlin
Abhandlungen der Deutschen Orient-Gesellschaft,ADOG
Abhandlungen der Rheinisch-Westfälischen Akademie der Wissenschaften,AbhDüsseldorf
Abhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig. Philologisch-Historische Klasse,AbhLeipzig
"Abhandlungen des Deutschen Archäologischen Instituts, Abteilung Kairo",ADAIK
"Abr-Nahrain. An Annual Published by the Department of Middle Eastern Studies, University of Melbourne",Abr-Nahrain
Académie des inscriptions et belles-lettres. Comptes rendus des séances de l’Académie,CRAI
Accademie e biblioteche d’Italia,AcBibl
"Achse, Rad und Wagen. Beiträge zur Geschichte der Landfahrzeuge",Achse
Acme. Annali della Facoltà di lettere e filosofia dell’Università degli studi di Milano,Acme
Acontia. Revista de arqueología,Acontia
Acta Academiae Aboensis,ActaAcAbo
Acta ad archaeologiam et artium historiam pertinentia,ActaAArtHist
Acta ad archaeologiam et artium historiam pertinentia. Series altera in 8°,ActaAArtHist s.a.
Acta antiqua Academiae scientiarum Hungaricae,ActaAntHung
Acta archaeologica Academiae scientiarum Hungaricae,ActaArchHung
Acta archaeologica Carpathica,ActaACarp
Acta archaeologica Lovaniensia,ActaALov
Acta archaeologica Lovaniensia. Monographiae,ActaALovMono
Acta archaeologica. København,ActaArch
Acta Associationis internationalis »Terra antiqua balcanica«,TerraAntBalc
Acta classica Universitatis scientiarum Debreceniensis,ActaClDebrec
Acta classica. Proceedings of the Classical Association of South Africa,ActaCl
Acta historica. Societas academica Dacoromana,ActaHistDac
Acta hyperborea. Danish Studies in Classical Archaeology,ActaHyp
Acta Instituti Atheniensis regni Sueciae,ActaAth
Acta Instituti Romani Finlandiae,ActaInstRomFin
Acta Musei Napocensis,ActaMusNapoca
Acta Musei Porolissensis,ActaMusPorol
Acta numismática (Barcelona),ActaNum
Acta orientalia (Kopenhagen),ActaOr
Acta orientalia Academiae scientiarum Hungaricae,ActaOrHung
Acta philologica. Societas academica Dacoromana,ActaPhilSocDac
Acta praehistorica et archaeologica,ActaPraehistA
Acta Universitatis Nicolai Copernici. Archaeologia,ActaTorunA
Acta Universitatis Nicolai Copernici. Historia,ActaTorunHist
Adalya. Annual of the Suna & Inan Kiraç-Research Institute on Mediterranean Civilizations,Adalya
Adumatu. A Semi-Annual Archeological Refereed Journal on the Arab World,Adumatu
Advances in Archaeological Method and Theory,AMethTh
Aegaeum. Annales d’archéologie égéenne de l’Université de Liège,Aegaeum
Aegean Archaeology,AeA
Ägypten und Levante. Egypt and the Levant. Internationale Zeitschrift für ägyptische Archäologie und deren Nachbargebiete,ÄgLev
Aevum antiquum,AevumAnt
Aevum. Rassegna di scienze storiche linguistiche e filologiche,Aevum
"Africa. Institut national d’archéologie et d’art, Tunis",Africa
Aitna. Quaderni di topografia antica,Aitna
Akademie der Wissenschaften und der Literatur in Mainz. Abhandlungen der Geistes- und Sozialwissenschaftlichen Klasse,AbhMainz
Alba Regia. Annales Musei Stephani regis,Alba Regia
Alma mater studiorum Almanacco calabrese Almoraima,AlmaMaterSt
‘Alon mahleqat ha-’atiqot šel medinat Jisra’el,AlonJisrael
Altamura. Bollettino dell’Archivio-biblioteca-museo civico,Altamura
Alter Orient und Altes Testament. Veröffentlichungen zur Kultur und Geschichte des Alten Orients und des Alten Testaments,AOAT
Altertümer von Pergamon,AvP
Alto medioevo,AltoMed
Altorientalische Forschungen,AoF
Alt-Thüringen,AltThür
Al-Qanniš. Boletín del Taller de arqueología de Alcañiz,Al-Qanniš
American Journal of Ancient History,AmJAncHist
American Journal of Archaeology,AJA
American Journal of Numismatics,AmJNum
American Journal of Philology,AJPh
American Numismatic Society. Numismatic Notes and Monographs,NNM
American Studies in Papyrology,AmStP
Anadolu araştırmaları. Jahrbuch für kleinasiatische Forschung,AnadoluAraş
Anadolu Medeniyetleri Müzesi konferansları,AnadoluKonf
Anadolu Medeniyetleri Müzesi yıllığı,AnadoluYıl
Anagennesis. A Papyrological Journal,Anagennesis
Anais do municípo de Faro,AnMunFaro
Analecta Aegyptiaca,AnAe
Analecta Bollandiana,AnalBolland
Analecta orientalia. Commentationes scientificae de rebus orientis antiqui,AnOr
Analecta papyrologica,AnalP
Analecta Romana Instituti Danici,AnalRom
Anales de arqueología cordobesa,AnCord
Anales de prehistoria y arqueología. Universidad de Murcia,AnMurcia
Anas. Museo nacional de arte romano de Mérida,Anas
Anatolia. Revue annuelle de l’Institut d’archéologie de l’Université d’Ankara,Anatolia
Anatolian Archaeology. Reports on Research Conducted in Turkey,AnatA
Anatolian Studies,AnSt
Ancient Civilizations from Scythia to Siberia. An International Journal of Comparative Studies in History and Archaeology,AncCivScytSib
The Ancient History Bulletin,AncHistB
The Ancient India,AncInd
Ancient Near Eastern Studies. An Annual,AncNearEastSt
Ancient Society,AncSoc
Ancient West and East,AncWestEast
The Ancient World,AncW
Les annales archéologiques arabes syriennes,AAS
Les annales des pays Nivernais,AnnNivern
Annales d’Éthiopie,AnnEth
Annales d’histoire et d’archéologie,AnnHistA
Annales du Service des antiquités de l’Égypte,ASAE
Annales Universitatis scientiarum Budapestinensis de Rolando Eötvös nominatae,AnnUnBud
"Annales. Economies, sociétés, civilisations",AnnEconSocCiv
"Annales. Histoire, sciences sociales",AnnHistScSoc
Annali Benacensi,AnnBenac
"Annali del Museo civico di Rovereto. Sezione archeologia, storia, scienze naturali",AnnMusRov
Annali della Facoltà di lettere e filosofia dell’Università di Cagliari,AnnCagl
"Annali della Facoltà di lettere e filosofia, Università degli studi di Perugia, 1. Studi classici",AnnPerugia
"Annali della Facoltà di lettere e filosofia, Università degli Studi, Bari",AnnBari
"Annali della Facoltà di lettere e filosofia, Università di Macerata",AnnMacerata
"Annali della Facoltà di lettere e filosofia, Università di Napoli",AnnNap
"Annali della Facoltà di lettere e filosofia, Università di Siena",AnnSiena
Annali della Facoltà di magistero dell’Università di Cagliari,AnnCaglMag
Annali della Fondazione per il Museo Claudio Faina,AnnFaina
Annali della Scuola normale superiore di Pisa,AnnPisa
Annali dell’Instituto di corrispondenza archeologica,AdI
Annali dell’Istituto universitario orientale di Napoli. Dipartimento di studi del mondo classico e del Mediterraneo antico. Sezione di archeologia e storia antica,AIONArch
